size_mb,run,store_ms,retrieve_ms,kem_backend,entropy,keygen_ms,aes_encrypt_ms,kem_wrap_ms,integrity_ms,auth_sign_ms
1,0,182.4000639999781,6.123725000009017,x25519-dev,0.9986677562183464,175.330257,0.741699,0.43194,3.213242,0.087801
1,1,169.81240900000216,6.2546190000034585,x25519-dev,0.9978990287700408,164.099231,0.241087,0.190552,2.607805,0.051727
1,2,170.44347399999538,5.458279000009725,x25519-dev,0.9974176442125309,164.977342,0.248538,0.179616,2.71858,0.049834
4,0,188.19639500000562,22.77040600000646,x25519-dev,0.9972461379590352,165.448141,2.771698,0.193587,10.376267,0.055051
4,1,182.8643329999977,23.106114000000844,x25519-dev,0.9982794894411453,162.692917,0.814247,0.190603,10.382096,0.05344
4,2,189.76952500000266,23.022991000004822,x25519-dev,0.9969556569172195,168.64606,0.799375,0.18904,10.672087,0.132436
8,0,216.11518200001,44.88048499999309,x25519-dev,0.9980300738558365,167.455937,6.023587,0.200848,22.555638,0.069342
8,1,208.9914130000068,42.5945770000169,x25519-dev,0.9976845624726705,166.206715,1.64621,0.203292,22.366709,0.070435
8,2,208.4144389999949,44.475094000006266,x25519-dev,0.9972243112615996,167.688852,1.695282,0.202019,20.899323,0.069813
